code,description
X21,"Advent Christian Church African Methodist Episcopal Church African Methodist Episcopal Zion Church AME Church Amish Anabaptist Anglican Church Apostolic Arminian Church Assemblies of Christ Apostolic Assembly of the Faith in Christ Jesus Apostolic Christian Church Apostolic Faith Church Apostolic Overcoming Holy Church of God (A.O.H.) Assembly of God Church Baptist Church Berean Fundamental Church Bible Church of Christ Born Again Christians Brethren Church Brethren in Christ Calvary Chapel Christ Gospel Church Christadelphian Christian & Missionary Alliance Christian Church Christian Churches of God Christian Reformed Church Christian Science Church of Christ Church of Christ, Scientist Church of God Church of Our Lord Jesus Christ Church of South India (CSI) Church of the Brethren Church of the Nazarene Community of Christ Congregational Church Covenant Church Disciples of Christ Episcopal Church Evangelical Bible Church Evangelical Bible Churches Evangelical Christian Church Evangelical Formosan Church Evangelical Free Church Evangelicals Evangelism Foursquare Church House of God Saints in Christ International Church of the Foursquare Gospel International Pentecostal Church of Christ Jehovahs Witnesses Lutheran Church Mennonite Church Methodist Church Metropolitan Community Church Missionary Church Moravian Church Netherlands Reformed Congregations Pentecostal Church of God Pentecostal Church Pentecostal Holiness Church Presbyterian Church Protestant Reformed Church Protestant Quakers, Redeemed Christian Church of God Reformed Church Religious Society of Friends Salvationists Seventh-day Adventist Church Shakers Swedenborgian Church United Church of Christ United Holy Church United Pentecostal Church Unity Victory Church Vineyard Christian Fellowship Vineyard Church Wesleyan Church Religious organizations whose form of Christian faith and practice originated with the principles of the Reformation.  "
R28,CASA Child Advocacy Court Appointed Special Advocates Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of children and youth.
R62,Anti-Abortion Fetal Rights Pro-Life Advocacy Organizations that support the passage of legislation which assigns legal rights to the unborn and seeks to criminalize the termination of unwanted pregnancies.
X70,"Ashram Hindu Spiritual Retreats Hinduism Pilgrimages - Hinduism Vedic Organizations whose members are followers of the religious philosophy that originated on the Indian subcontinent and is marked by an outlook that tends to view all forms and theories as aspects of one eternal being and truth; a belief in ahimsa, karma, dharma, samsara and moksha; and the practice of the way of works, the way of knowledge or the way of devotion as the means of release from the round of rebirths."
W40,"Air Traffic Control Air Transportation Airline Terminals Airports Bus Shelters Buses, Cable Cars Commuter Rail, Ferry Boats Light-Rail Systems Mass Transit Pedestrian Shelters Public Transportation Public Transportation Systems Rail Transportation Railroads Railways Rapid Transit Systems Roadways Streetcars Subways Trains Trolleys Urban Mass Transit Organizations that provide fixed-route mass transit services that utilize buses, trains, ferry boats or other vehicles to transport people within the limits of a city, a metropolitan area, a county or a multi-county region, or to move people from outlying areas into a city or metropolitan area."
W90,"Consumer Complaints Consumer Education Consumer Fraud Consumer Product Safety Consumer Protection Consumer Safety Organizations that provide for the education and protection of individuals who purchase, use, maintain and dispose of products and services."
B," Organizations dedicated to the act or process of imparting or acquiring general knowledge, developing the powers of reasoning and judgment, and generally of preparing oneself or others intellectually for mature life."
X40,"Hajj Islam Islamic Spiritual Retreats Mohammedanism Moslems Mosques Muslims Islamic Temples Koran Pilgrimages - Islam Quran Organizations whose members are followers of Islam, the religious faith and cultural system that is based on the belief in Allah as the sole deity, in Mohammed as the prophet of Allah and in the Koran as the revelation of Allah to Mohammed and the divinely authorized basis for the religious, social, civil, commercial, military and legal regulations of the Islamic world."
E39,"Dental Clinics Dental Care Mobile Dental Care Oral Health Organizations dedicated to the study, diagnosis, prevention, and treatment of diseases, disorders and conditions of the oral cavity, commonly in the dentition but also the oral mucosa, and of adjacent and related structures and tissues, particularly in the maxillofacial (jaw and facial) area."
G," Also known as patient advocacy organizations, VHAs are composed of individuals, both lay and professional, voluntarily and democratically organized. Their mission is to combat a particular disease, disability, or group of diseases and disabilities, or to improve and protect the health of a particular group of people."
E," Organizations dedicated to the maintenance or restoration of the health of the body or mind."
M," Organizations dedicated to the process of preparing for or responding to man-made and natural disasters."
K," Organizations that focus on the development, improvement, or distribution of food resources."
W," Organizations that support government administration, veterans' interests, public transportation systems, telecommunications, financial institutions leadership development, public utilities, or consumer protection."
P," Organizations dedicated to meeting basic health, welfare, and other needs of a society or group."
